Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|35062
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|28687
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|12196
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|2838
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|197
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|8349
ADA4O|Dramatic Arts|Grade 12|Open (Grade 9 - 12 level)|<10
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|151
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|213
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|591
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|141
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|509
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|160
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|158
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|193
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|90
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|308
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|546
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|710
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1064
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|220
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1121
ADD4O|Dramatic Arts - Production|Grade 12|Open (Grade 9 - 12 level)|<10
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|45
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|170
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|248
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|58
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|232
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|<10
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|45
ADP3O|Drama - Playwriting/Theatre Development|Grade 11|Open (Grade 9 - 12 level)|25
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|126
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|<10
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|95
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|178
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|458
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|123
ADV4M|Drama - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|394
AEA3O|Exploring and Creating in the Arts|Grade 11|Open (Grade 9 - 12 level)|226
AEA4O|Exploring and Creating in the Arts|Grade 12|Open (Grade 9 - 12 level)|1652
AEB4T|Exploring Art and Design|Grade 12|College Delivered (Dual Credits)|65
AED4T|Art and Design Portfolio Development|Grade 12|College Delivered (Dual Credits)|31
AEF4T|Design|Grade 12|College Delivered (Dual Credits)|17
AEH4T|Elements of Décor|Grade 12|College Delivered (Dual Credits)|<10
AEI4T|Colour in Decoration|Grade 12|College Delivered (Dual Credits)|<10
AEL4T|Basic  Design|Grade 12|College Delivered (Dual Credits)|17
AFB4T|Painting and Drawing|Grade 12|College Delivered (Dual Credits)|11
AFE4T|Basic Digital Photography|Grade 12|College Delivered (Dual Credits)|11
AFF4T|The Culture of Photography|Grade 12|College Delivered (Dual Credits)|<10
AFG4T|2D Digital Art|Grade 12|College Delivered (Dual Credits)|25
AFI4T|Digital Photography and Image Editing|Grade 12|College Delivered (Dual Credits)|43
AFJ4T|Digital Art and Design|Grade 12|College Delivered (Dual Credits)|22
AFK4T|Digital Photography Techniques|Grade 12|College Delivered (Dual Credits)|108
AFL4T|Introduction à la photographie|Grade 12|College Delivered (Dual Credits)|11
AFQ4T|Editorial Illustrations|Grade 12|College Delivered (Dual Credits)|17
AFS4T|Painting and Drawing ¿ Theory|Grade 12|College Delivered (Dual Credits)|<10
