Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|33006
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|23637
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|10562
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|1967
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|166
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|6954
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|132
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|281
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|626
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|82
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|504
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|108
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|97
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|107
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|71
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|141
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|774
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|752
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1157
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|232
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1268
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|69
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|218
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|204
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|149
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|153
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|19
ADJ4T|Acting for Film and Television|Grade 12|College Delivered (Dual Credits)|15
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|37
ADP3O|Drama - Playwriting/Theatre Development|Grade 11|Open (Grade 9 - 12 level)|<10
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|89
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|28
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|32
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|78
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|205
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|533
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|105
