Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|30955
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|20375
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|8865
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|1425
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|155
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|5590
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|160
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|205
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|470
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|20
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|425
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|110
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|80
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|120
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|<10
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|165
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|730
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|860
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1085
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|120
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1055
ADD4O|Drama - Production|Grade 12|Open (Grade 9 - 12 level)|20
ADE4T|Global Performing Arts|Grade 12|College Delivered (Dual Credits)|<10
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|70
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|180
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|205
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|30
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|125
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|<10
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|85
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|70
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|15
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|25
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|45
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|105
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|300
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|40
ADV4M|Drama - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|345
AEA3O|Exploring and Creating in the Arts|Grade 11|Open (Grade 9 - 12 level)|325
