Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|32253
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|25098
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|10562
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|2054
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|174
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|7096
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|150
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|268
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|556
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|86
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|627
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|130
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|93
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|110
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|93
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|215
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|635
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|762
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1128
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|272
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1137
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|85
ADF3O|Director's Craft|Grade 11|Open (Grade 9 - 12 level)|<10
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|255
