Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AMI2O|Musique instrumentale - harmonie|10e année|Ouvert|6417
AMI3M|Musique instrumentale - harmonie|11e année|Filière préuniversitaire/précollégiale|3757
AMI3O|Musique instrumentale - harmonie|11e année|Ouvert|116
AMI4M|Musique instrumentale - harmonie|12e année|Filière préuniversitaire/précollégiale|2643
AMJ1O|Jazz vocal|9e année|Ouvert|13
AMJ2O|Jazz vocal|10e année|Ouvert|58
AMJ3M|Jazz vocal|11e année|Filière préuniversitaire/précollégiale|78
AMJ3O|Jazz vocal|11e année|Ouvert|33
AMJ4M|Jazz vocal|12e année|Filière préuniversitaire/précollégiale|156
AMK1O|Clavier|9e année|Ouvert|463
AMK2O|Clavier|10e année|Ouvert|1430
AMK3M|Clavier|11e année|Filière préuniversitaire/précollégiale|533
AMK3O|Clavier|11e année|Ouvert|192
AMK4M|Clavier|12e année|Filière préuniversitaire/précollégiale|265
AMM1O|La musique et l'ordinateur|9e année|Ouvert|183
AMM2O|La musique et l'ordinateur|10e année|Ouvert|399
AMM3M|La musique et l'ordinateur|11e année|Filière préuniversitaire/précollégiale|381
AMM3O|La musique et l'ordinateur|11e année|Ouvert|160
AMM4M|La musique et l'ordinateur|12e année|Filière préuniversitaire/précollégiale|198
AMO1O|Musique instrumentale - orchestre|9e année|Ouvert|116
AMO2O|Musique instrumentale - orchestre|10e année|Ouvert|143
AMO3M|Musique instrumentale - orchestre|11e année|Filière préuniversitaire/précollégiale|167
AMO3O|Musique instrumentale - orchestre|11e année|Ouvert|16
AMO4M|Musique instrumentale - orchestre|12e année|Filière préuniversitaire/précollégiale|116
AMP1O|Musique instrumentale - percussion|9e année|Ouvert|195
AMP2O|Musique instrumentale - percussion|10e année|Ouvert|97
AMP3M|Musique instrumentale - percussion|11e année|Filière préuniversitaire/précollégiale|27
AMP3O|Musique instrumentale - percussion|11e année|Ouvert|12
AMP4M|Musique instrumentale - percussion|12e année|Filière préuniversitaire/précollégiale|22
AMQ1O|Tambours d'acier|9e année|Ouvert|191
AMQ2O|Tambours d'acier|10e année|Ouvert|170
AMQ3M|Tambours d'acier|11e année|Filière préuniversitaire/précollégiale|74
AMQ3O|Tambours d'acier|11e année|Ouvert|10
AMQ4M|Tambours d'acier|12e année|Filière préuniversitaire/précollégiale|49
AMR1O|Répertoire|9e année|Ouvert|3582
AMR2O|Répertoire|10e année|Ouvert|3926
AMR3M|Répertoire|11e année|Filière préuniversitaire/précollégiale|2989
AMR3O|Répertoire|11e année|Ouvert|395
AMR4M|Répertoire|12e année|Filière préuniversitaire/précollégiale|2393
AMS1O|Musique instrumentale - cordes|9e année|Ouvert|1852
AMS2O|Musique instrumentale - cordes|10e année|Ouvert|1201
AMS3M|Musique instrumentale - cordes|11e année|Filière préuniversitaire/précollégiale|688
AMS3O|Musique instrumentale - cordes|11e année|Ouvert|110
AMS4M|Musique instrumentale - cordes|12e année|Filière préuniversitaire/précollégiale|570
AMT1O|Théâtre musical|9e année|Ouvert|138
AMT2O|Théâtre musical|10e année|Ouvert|286
AMT3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|588
AMT3O|Théâtre musical|11e année|Ouvert|92
AMT4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|587
AMU1O|Musique|9e année|Ouvert|14378
AMU2O|Musique|10e année|Ouvert|6817
AMU3M|Musique|11e année|Filière préuniversitaire/précollégiale|3879
AMU3O|Musique|11e année|Ouvert|506
AMU4E|Musique|12e année|Filière préemploi|111
AMU4M|Musique|12e année|Filière préuniversitaire/précollégiale|2587
AMV1O|Musique vocale ou chorale|9e année|Ouvert|3431
AMV2O|Musique vocale ou chorale|10e année|Ouvert|3560
AMV3M|Musique vocale ou chorale|11e année|Filière préuniversitaire/précollégiale|2322
AMV3O|Musique vocale ou chorale|11e année|Ouvert|323
AMV4M|Musique vocale ou chorale|12e année|Filière préuniversitaire/précollégiale|1876
AMW1O|Musique - bois|9e année|Ouvert|121
AMW2O|Musique - bois|10e année|Ouvert|42
AMW3M|Musique - bois|11e année|Filière préuniversitaire/précollégiale|37
AMW4M|Musique - bois|12e année|Filière préuniversitaire/précollégiale|36
AMX3M|Musique - externe (conservatoire)|11e année|Filière préuniversitaire/précollégiale|201
AMX4M|Musique - externe (conservatoire)|12e année|Filière préuniversitaire/précollégiale|367
ASA4T|Media and the Arts|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ASM2O|Arts médiatiques|10e année|Ouvert|8623
