Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|30955
ADA2O|Théâtre|10e année|Ouvert|20375
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|8865
ADA3O|Théâtre|11e année|Ouvert|1425
ADA4E|Théâtre|12e année|Filière préemploi|155
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|5590
ADB1O|Théâtre musical|9e année|Ouvert|160
ADB2O|Théâtre musical|10e année|Ouvert|205
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|470
ADB3O|Théâtre musical|11e année|Ouvert|20
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|425
ADC1O|Théâtre communautaire|9e année|Ouvert|110
ADC2O|Théâtre communautaire|10e année|Ouvert|80
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|120
ADC3O|Théâtre communautaire|11e année|Ouvert|<10
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|165
ADD1O|Théâtre - production|9e année|Ouvert|730
ADD2O|Théâtre - production|10e année|Ouvert|860
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1085
ADD3O|Théâtre - production|11e année|Ouvert|120
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1055
ADD4O|Théâtre - production|12e année|Ouvert|20
ADE4T|Global Performing Arts|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|70
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|180
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|205
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|30
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|125
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ADP3M|Théâtre - dramaturgie et développement théâtral|11e année|Filière préuniversitaire/précollégiale|85
ADP4M|Théâtre - dramaturgie et développement théâtral|12e année|Filière préuniversitaire/précollégiale|70
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|15
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|25
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|45
ADV2O|Théâtre - cinéma/vidéo|10e année|Ouvert|105
ADV3M|Théâtre - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|300
ADV3O|Théâtre - cinéma/vidéo|11e année|Ouvert|40
ADV4M|Théâtre - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|345
AEA3O|Exploration et création artistique|11e année|Ouvert|325
AEA4O|Exploration et création artistique|12e année|Ouvert|420
AEA4T|Art Gaming|12e année|Cours collégial, enseigné par le collège (DRC)|10
AEB4T|Exploring Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|15
AEF4T|Design|12e année|Cours collégial, enseigné par le collège (DRC)|50
AEL4T|Basic  Design|12e année|Cours collégial, enseigné par le collège (DRC)|40
AEM4T|Composition and Creativity|12e année|Cours collégial, enseigné par le collège (DRC)|40
AFA4T|Illustration|12e année|Cours collégial, enseigné par le collège (DRC)|60
AFB4T|Painting and Drawing|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AFD4T|Dessin|12e année|Cours collégial, enseigné par le collège (DRC)|105
AFE4T|Basic Digital Photography|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AFG4T|2D Digital Art|12e année|Cours collégial, enseigné par le collège (DRC)|20
AFI4T|Digital Photography and Image Editing|12e année|Cours collégial, enseigné par le collège (DRC)|90
AFJ4T|Digital Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|65
AFK4T|Digital Photography|12e année|Cours collégial, enseigné par le collège (DRC)|125
AFM4T|Digital Applications|12e année|Cours collégial, enseigné par le collège (DRC)|20
AFO4T|Painting and Drawing - Watercolour|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AFR4T|Modelling and Animation|12e année|Cours collégial, enseigné par le collège (DRC)|55
AHE4T|La musique et la société|12e année|Cours collégial, enseigné par le collège (DRC)|45
AHG4T|Canadian Music Industry|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ALC1O|Arts intégrés|9e année|Ouvert|2935
ALC2O|Arts intégrés|10e année|Ouvert|575
AMB1O|Musique instrumentale - cuivres|9e année|Ouvert|75
AMB2O|Musique instrumentale - cuivres|10e année|Ouvert|30
AMB3M|Musique instrumentale - cuivres|11e année|Filière préuniversitaire/précollégiale|25
AMB4M|Musique instrumentale - cuivres|12e année|Filière préuniversitaire/précollégiale|25
AMC1O|Composition musicale|9e année|Ouvert|255
AMC2O|Composition musicale|10e année|Ouvert|290
AMC3M|Composition musicale|11e année|Filière préuniversitaire/précollégiale|360
AMC3O|Composition musicale|11e année|Ouvert|165
AMC4M|Composition musicale|12e année|Filière préuniversitaire/précollégiale|310
