Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|34646
ADA2O|Théâtre|10e année|Ouvert|26958
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|11380
ADA3O|Théâtre|11e année|Ouvert|2479
ADA4E|Théâtre|12e année|Filière préemploi|208
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|8172
ADA4O|Dramatic Arts|12e année|Ouvert|<10
ADB1O|Théâtre musical|9e année|Ouvert|229
ADB2O|Théâtre musical|10e année|Ouvert|258
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|626
ADB3O|Théâtre musical|11e année|Ouvert|141
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|620
ADC1O|Théâtre communautaire|9e année|Ouvert|167
ADC2O|Théâtre communautaire|10e année|Ouvert|142
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|165
ADC3O|Théâtre communautaire|11e année|Ouvert|111
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|333
ADD1O|Théâtre - production|9e année|Ouvert|549
ADD2O|Théâtre - production|10e année|Ouvert|750
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1032
ADD3O|Théâtre - production|11e année|Ouvert|200
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1109
ADD4O|Art dramatique - production|12e année|Ouvert|<10
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|47
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|200
ADG3M|Théâtre - Jeu de l'acteur et travail d'improvisation|11e année|Filière préuniversitaire/précollégiale|207
ADG3O|Théâtre - Jeu de l'acteur et travail d'improvisation|11e année|Ouvert|100
ADG4M|Théâtre - Jeu de l'acteur et travail d'improvisation|12e année|Filière préuniversitaire/précollégiale|218
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|14
ADP3M|Théâtre - dramaturgie et développement dramaturgique|11e année|Filière préuniversitaire/précollégiale|63
ADP3O|Théâtre - dramaturgie et développement dramaturgique|11e année|Ouvert|<10
ADP4M|Théâtre - dramaturgie et développement dramaturgique|12e année|Filière préuniversitaire/précollégiale|115
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|14
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|17
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|99
ADV2O|Théâtre - cinéma/video|10e année|Ouvert|142
ADV3M|Théâtre - cinéma/video|11e année|Filière préuniversitaire/précollégiale|473
ADV3O|Théâtre - cinéma/video|11e année|Ouvert|72
ADV4M|Théâtre - cinéma/video|12e année|Filière préuniversitaire/précollégiale|391
AEA3O|Exploration et création artistique|11e année|Ouvert|130
