Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|34237
ADA2O|Théâtre|10e année|Ouvert|26094
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|11043
ADA3O|Théâtre|11e année|Ouvert|2033
ADA4E|Théâtre|12e année|Filière préemploi|209
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|7290
ADA4O|Théâtre|12e année|Ouvert|<10
ADB1O|Théâtre musical|9e année|Ouvert|227
ADB2O|Théâtre musical|10e année|Ouvert|220
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|657
ADB3O|Théâtre musical|11e année|Ouvert|112
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|600
ADC1O|Théâtre communautaire|9e année|Ouvert|151
ADC2O|Théâtre communautaire|10e année|Ouvert|153
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|140
ADC3O|Théâtre communautaire|11e année|Ouvert|117
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|290
ADD1O|Théâtre - production|9e année|Ouvert|652
ADD2O|Théâtre - production|10e année|Ouvert|754
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1082
ADD3O|Théâtre - production|11e année|Ouvert|244
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1121
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|56
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|226
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|272
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|136
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|155
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|14
ADJ4T|Acting for Film and Television|12e année|Cours collégial, enseigné par le collège (DRC)|<10
