Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AAR4T|Initiation à la régie|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ADA1O|Théâtre|9e année|Ouvert|31083
ADA2O|Théâtre|10e année|Ouvert|22844
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|9929
ADA3O|Théâtre|11e année|Ouvert|1808
ADA4E|Théâtre|12e année|Filière préemploi|135
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|6759
ADB1O|Théâtre musical|9e année|Ouvert|146
ADB2O|Théâtre musical|10e année|Ouvert|204
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|526
ADB3O|Théâtre musical|11e année|Ouvert|115
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|638
ADC1O|Théâtre communautaire|9e année|Ouvert|137
ADC2O|Théâtre communautaire|10e année|Ouvert|82
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|114
ADC3O|Théâtre communautaire|11e année|Ouvert|44
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|229
ADD1O|Théâtre - production|9e année|Ouvert|736
ADD2O|Théâtre - production|10e année|Ouvert|821
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1004
ADD3O|Théâtre - production|11e année|Ouvert|165
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1081
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|100
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|221
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|172
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|62
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|119
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|34
ADI4T|Technical Theatre|12e année|Cours collégial, enseigné par le collège (DRC)|13
ADJ4T|Acting for Film and Television|12e année|Cours collégial, enseigné par le collège (DRC)|17
ADP3M|Théâtre - dramaturgie et développement théâtral|11e année|Filière préuniversitaire/précollégiale|55
ADP4M|Théâtre - dramaturgie et développement théâtral|12e année|Filière préuniversitaire/précollégiale|64
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|16
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|18
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|38
ADV2O|Théâtre - cinéma/vidéo|10e année|Ouvert|165
ADV3M|Théâtre - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|492
ADV3O|Théâtre - cinéma/vidéo|11e année|Ouvert|71
ADV4M|Théâtre - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|359
AEA3O|Exploration et création artistique|11e année|Ouvert|1026
AEA4O|Exploration et création artistique|12e année|Ouvert|459
AEA4T|Art Gaming|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AEB4T|Exploring Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|24
AEC4T|History of Animation|12e année|Cours collégial, enseigné par le collège (DRC)|19
AED4T|Art and Design Portfolio Development|12e année|Cours collégial, enseigné par le collège (DRC)|13
AEF4T|Design|12e année|Cours collégial, enseigné par le collège (DRC)|24
AEH4T|Elements of Décor|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AEL4T|Basic  Design|12e année|Cours collégial, enseigné par le collège (DRC)|21
AEM4T|Composition and Creativity|12e année|Cours collégial, enseigné par le collège (DRC)|21
AFA4T|Illustration|12e année|Cours collégial, enseigné par le collège (DRC)|43
AFB4T|Painting and Drawing|12e année|Cours collégial, enseigné par le collège (DRC)|12
AFD4T|Drawing|12e année|Cours collégial, enseigné par le collège (DRC)|51
AFE4T|Basic Digital Photography|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AFG4T|2D Digital Art|12e année|Cours collégial, enseigné par le collège (DRC)|37
AFI4T|Digital Photography and Image Editing|12e année|Cours collégial, enseigné par le collège (DRC)|133
AFJ4T|Digital Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|98
AFK4T|Digital Photography Techniques|12e année|Cours collégial, enseigné par le collège (DRC)|131
AFM4T|Digital Applications|12e année|Cours collégial, enseigné par le collège (DRC)|27
AFR4T|Modelling and Animation|12e année|Cours collégial, enseigné par le collège (DRC)|17
AFS4T|Painting and Drawing – Theory|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AHE4T|Music and Society|12e année|Cours collégial, enseigné par le collège (DRC)|10
AHF4T|Good Vibrations: The Evolution of Popular Music|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AHG4T|Canadian Music Industry|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AHL4T|History of Rock and Roll|12e année|Cours collégial, enseigné par le collège (DRC)|10
ALC1O|Arts intégrés|9e année|Ouvert|3636
ALC2O|Arts intégrés|10e année|Ouvert|687
AMB1O|Musique instrumentale - cuivres|9e année|Ouvert|84
AMB2O|Musique instrumentale - cuivres|10e année|Ouvert|29
AMB3M|Musique instrumentale - cuivres|11e année|Filière préuniversitaire/précollégiale|116
AMB4M|Musique instrumentale - cuivres|12e année|Filière préuniversitaire/précollégiale|30
AMC1O|Composition musicale|9e année|Ouvert|221
AMC2O|Composition musicale|10e année|Ouvert|343
AMC3M|Composition musicale|11e année|Filière préuniversitaire/précollégiale|257
AMC3O|Composition musicale|11e année|Ouvert|210
AMC4M|Composition musicale|12e année|Filière préuniversitaire/précollégiale|233
AMD1O|Musique électronique|9e année|Ouvert|19
AMD2O|Musique électronique|10e année|Ouvert|62
AMD3M|Musique électronique|11e année|Filière préuniversitaire/précollégiale|49
AMD3O|Musique électronique|11e année|Ouvert|18
AMD4M|Musique électronique|12e année|Filière préuniversitaire/précollégiale|42
AME1O|Petits ensembles|9e année|Ouvert|100
AME2O|Petits ensembles|10e année|Ouvert|181
AME3M|Petits ensembles|11e année|Filière préuniversitaire/précollégiale|220
AME3O|Petits ensembles|11e année|Ouvert|124
AME4M|Petits ensembles|12e année|Filière préuniversitaire/précollégiale|250
AMG1O|Guitare|9e année|Ouvert|1604
AMG2O|Guitare|10e année|Ouvert|6142
AMG3M|Guitare|11e année|Filière préuniversitaire/précollégiale|1547
AMG3O|Guitare|11e année|Ouvert|1919
AMG4M|Guitare|12e année|Filière préuniversitaire/précollégiale|1066
AMH1O|Orchestre de scène|9e année|Ouvert|65
AMH2O|Orchestre de scène|10e année|Ouvert|301
AMH3M|Orchestre de scène|11e année|Filière préuniversitaire/précollégiale|362
AMH3O|Orchestre de scène|11e année|Ouvert|23
AMH4M|Orchestre de scène|12e année|Filière préuniversitaire/précollégiale|423
AMI1O|Musique instrumentale - harmonie|9e année|Ouvert|12558
AMI2O|Musique instrumentale - harmonie|10e année|Ouvert|6615
AMI3M|Musique instrumentale - harmonie|11e année|Filière préuniversitaire/précollégiale|3722
AMI3O|Musique instrumentale - harmonie|11e année|Ouvert|102
AMI4M|Musique instrumentale - harmonie|12e année|Filière préuniversitaire/précollégiale|2747
AMJ1O|Jazz vocal|9e année|Ouvert|11
AMJ2O|Jazz vocal|10e année|Ouvert|90
AMJ3M|Jazz vocal|11e année|Filière préuniversitaire/précollégiale|113
AMJ3O|Jazz vocal|11e année|Ouvert|22
AMJ4M|Jazz vocal|12e année|Filière préuniversitaire/précollégiale|146
AMK1O|Clavier|9e année|Ouvert|459
AMK2O|Clavier|10e année|Ouvert|1358
AMK3M|Clavier|11e année|Filière préuniversitaire/précollégiale|524
AMK3O|Clavier|11e année|Ouvert|183
AMK4M|Clavier|12e année|Filière préuniversitaire/précollégiale|294
AMM1O|La musique et l'ordinateur|9e année|Ouvert|246
AMM2O|La musique et l'ordinateur|10e année|Ouvert|428
AMM3M|La musique et l'ordinateur|11e année|Filière préuniversitaire/précollégiale|405
AMM3O|La musique et l'ordinateur|11e année|Ouvert|109
AMM4M|La musique et l'ordinateur|12e année|Filière préuniversitaire/précollégiale|243
AMO1O|Musique instrumentale - orchestre|9e année|Ouvert|139
AMO2O|Musique instrumentale - orchestre|10e année|Ouvert|131
