Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|35062
ADA2O|Théâtre|10e année|Ouvert|28687
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|12196
ADA3O|Théâtre|11e année|Ouvert|2838
ADA4E|Théâtre|12e année|Filière préemploi|197
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|8349
ADA4O|Dramatic Arts|12e année|Ouvert|<10
ADB1O|Théâtre musical|9e année|Ouvert|151
ADB2O|Théâtre musical|10e année|Ouvert|213
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|591
ADB3O|Théâtre musical|11e année|Ouvert|141
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|509
ADC1O|Théâtre communautaire|9e année|Ouvert|160
ADC2O|Théâtre communautaire|10e année|Ouvert|158
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|193
ADC3O|Théâtre communautaire|11e année|Ouvert|90
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|308
ADD1O|Théâtre - production|9e année|Ouvert|546
ADD2O|Théâtre - production|10e année|Ouvert|710
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1064
ADD3O|Théâtre - production|11e année|Ouvert|220
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1121
ADD4O|Art dramatique - production|12e année|Ouvert|<10
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|45
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|170
ADG3M|Théâtre - Jeu de l'acteur et travail d'improvisation|11e année|Filière préuniversitaire/précollégiale|248
ADG3O|Théâtre - Jeu de l'acteur et travail d'improvisation|11e année|Ouvert|58
ADG4M|Théâtre - Jeu de l'acteur et travail d'improvisation|12e année|Filière préuniversitaire/précollégiale|232
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ADP3M|Théâtre - dramaturgie et développement dramaturgique|11e année|Filière préuniversitaire/précollégiale|45
ADP3O|Théâtre - dramaturgie et développement dramaturgique|11e année|Ouvert|25
ADP4M|Théâtre - dramaturgie et développement dramaturgique|12e année|Filière préuniversitaire/précollégiale|126
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|<10
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|95
ADV2O|Théâtre - cinéma/video|10e année|Ouvert|178
ADV3M|Théâtre - cinéma/video|11e année|Filière préuniversitaire/précollégiale|458
