Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AME4M|Petits ensembles|12e année|Filière préuniversitaire/précollégiale|242
AMG1O|Guitare|9e année|Ouvert|1788
AMG2O|Guitare|10e année|Ouvert|6890
AMG3M|Guitare|11e année|Filière préuniversitaire/précollégiale|1616
AMG3O|Guitare|11e année|Ouvert|2145
AMG4M|Guitare|12e année|Filière préuniversitaire/précollégiale|1194
AMH1O|Orchestre de scène|9e année|Ouvert|82
AMH2O|Orchestre de scène|10e année|Ouvert|261
AMH3M|Orchestre de scène|11e année|Filière préuniversitaire/précollégiale|425
AMH3O|Orchestre de scène|11e année|Ouvert|46
AMH4M|Orchestre de scène|12e année|Filière préuniversitaire/précollégiale|473
AMI1O|Musique instrumentale - harmonie|9e année|Ouvert|13295
AMI2O|Musique instrumentale - harmonie|10e année|Ouvert|6502
AMI3M|Musique instrumentale - harmonie|11e année|Filière préuniversitaire/précollégiale|3985
AMI3O|Musique instrumentale - harmonie|11e année|Ouvert|67
AMI4M|Musique instrumentale - harmonie|12e année|Filière préuniversitaire/précollégiale|2950
AMJ1O|Jazz vocal|9e année|Ouvert|<10
AMJ2O|Jazz vocal|10e année|Ouvert|72
AMJ3M|Jazz vocal|11e année|Filière préuniversitaire/précollégiale|139
AMJ3O|Jazz vocal|11e année|Ouvert|48
AMJ4M|Jazz vocal|12e année|Filière préuniversitaire/précollégiale|160
AMK1O|Clavier|9e année|Ouvert|537
AMK2O|Clavier|10e année|Ouvert|1426
AMK3M|Clavier|11e année|Filière préuniversitaire/précollégiale|572
AMK3O|Clavier|11e année|Ouvert|176
AMK4M|Clavier|12e année|Filière préuniversitaire/précollégiale|310
AMM1O|La musique et l'ordinateur|9e année|Ouvert|183
AMM2O|La musique et l'ordinateur|10e année|Ouvert|663
AMM3M|La musique et l'ordinateur|11e année|Filière préuniversitaire/précollégiale|435
AMM3O|La musique et l'ordinateur|11e année|Ouvert|188
AMM4M|La musique et l'ordinateur|12e année|Filière préuniversitaire/précollégiale|310
AMO1O|Musique instrumentale - orchestre|9e année|Ouvert|308
AMO2O|Musique instrumentale - orchestre|10e année|Ouvert|113
AMO3M|Musique instrumentale - orchestre|11e année|Filière préuniversitaire/précollégiale|105
AMO3O|Musique instrumentale - orchestre|11e année|Ouvert|<10
AMO4M|Musique instrumentale - orchestre|12e année|Filière préuniversitaire/précollégiale|112
AMP1O|Musique instrumentale - percussion|9e année|Ouvert|185
AMP2O|Musique instrumentale - percussion|10e année|Ouvert|185
AMP3M|Musique instrumentale - percussion|11e année|Filière préuniversitaire/précollégiale|66
AMP3O|Musique instrumentale - percussion|11e année|Ouvert|53
AMP4M|Musique instrumentale - percussion|12e année|Filière préuniversitaire/précollégiale|44
AMQ1O|Tambours d'acier|9e année|Ouvert|206
AMQ2O|Tambours d'acier|10e année|Ouvert|194
AMQ3M|Tambours d'acier|11e année|Filière préuniversitaire/précollégiale|56
AMQ3O|Tambours d'acier|11e année|Ouvert|23
AMQ4M|Tambours d'acier|12e année|Filière préuniversitaire/précollégiale|51
AMR1O|Répertoire|9e année|Ouvert|3606
AMR2O|Répertoire|10e année|Ouvert|3836
AMR3M|Répertoire|11e année|Filière préuniversitaire/précollégiale|2944
AMR3O|Répertoire|11e année|Ouvert|361
AMR4M|Répertoire|12e année|Filière préuniversitaire/précollégiale|2505
AMS1O|Musique instrumentale - cordes|9e année|Ouvert|1865
AMS2O|Musique instrumentale - cordes|10e année|Ouvert|1164
AMS3M|Musique instrumentale - cordes|11e année|Filière préuniversitaire/précollégiale|855
