Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|33006
ADA2O|Théâtre|10e année|Ouvert|23637
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|10562
ADA3O|Théâtre|11e année|Ouvert|1967
ADA4E|Théâtre|12e année|Filière préemploi|166
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|6954
ADB1O|Théâtre musical|9e année|Ouvert|132
ADB2O|Théâtre musical|10e année|Ouvert|281
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|626
ADB3O|Théâtre musical|11e année|Ouvert|82
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|504
ADC1O|Théâtre communautaire|9e année|Ouvert|108
ADC2O|Théâtre communautaire|10e année|Ouvert|97
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|107
ADC3O|Théâtre communautaire|11e année|Ouvert|71
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|141
ADD1O|Théâtre - production|9e année|Ouvert|774
ADD2O|Théâtre - production|10e année|Ouvert|752
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1157
ADD3O|Théâtre - production|11e année|Ouvert|232
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1268
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|69
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|218
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|204
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|149
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|153
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|19
ADJ4T|Acting for Film and Television|12e année|Cours collégial, enseigné par le collège (DRC)|15
ADP3M|Théâtre - dramaturgie et développement théâtral|11e année|Filière préuniversitaire/précollégiale|37
ADP3O|Théâtre - dramaturgie et développement théâtral|11e année|Ouvert|<10
ADP4M|Théâtre - dramaturgie et développement théâtral|12e année|Filière préuniversitaire/précollégiale|89
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|28
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|32
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|78
ADV2O|Théâtre - cinéma/vidéo|10e année|Ouvert|205
ADV3M|Théâtre - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|533
ADV3O|Théâtre - cinéma/vidéo|11e année|Ouvert|105
ADV4M|Théâtre - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|374
AEA3O|Exploration et création artistique|11e année|Ouvert|363
AEA4O|Exploration et création artistique|12e année|Ouvert|1225
AEB4T|Exploring Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|20
